id,name,price,retailer,category,image_url,affiliate_link,created_at
1,Camp Master 5-Person Tent,3,Makro,Camping,https://www.makro.co.za/asset/rukmini/fccp/832/832/ng-fkpublic-ui-user-fbbe/tent/n/j/4/-original-imah2f52axytrdfu.jpeg?q=70,https://www.makro.co.za/camp-master-family-cabin-tent-5-person/p/itm3982b48a1e4b0?pid=TNTHFZZEWVPKACHP&lid=LSTTNTHFZZEWVPKACHPOBSSOJ&q=Camp+Master+8-Person+Tent&store=abc%2Ffvf%2Fs9a&spotlightTagId=BlackFriday_abc%2Ffvf%2Fs9a&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=fc1d1c64-f2da-4561-a985-606ae10880f6.TNTHFZZEWVPKACHP.SEARCH&ppt=sp&ppn=sp&ssid=j0ss40w2zk0000001764016005525&qH=412616a3c4e66446,2025-11-25 06:19:05
2,Hisense 508 L Side by Side Fridge,3,Makro,Appliances,https://i.im.ge/2025/11/25/4Lzn6M.fridge.jpeg,https://www.makro.co.za/hisense-508-l-side-fridge/p/itm4753e362fe820?pid=RFRH2FVNRYTRPZ7Z&lid=LSTRFRH2FVNRYTRPZ7ZFRJHDM&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=b15d73e4-5c8f-4b3c-8d96-081f7658e7bc.RFRH2FVNRYTRPZ7Z.SEARCH&ppt=sp&ppn=sp&ssid=bt488t348w0000001764015873256&qH=2be977f3ff92dd10,2025-11-25 06:19:05
3,Weber Master-Touch Braai,3,Makro,Outdoor,https://i.im.ge/2025/11/25/4LHqec.braai.jpeg,https://www.makro.co.za/weber-master-touch-57-c-5750-ocean-blue-14716004-charcoal-braai/p/itm15588bb984670?pid=BGLH53ZEBJFPTA2X&lid=LSTBGLH53ZEBJFPTA2XOKBUAH&q=Weber+Master-Touch+Braai&store=upp&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=1bb662b9-2fdb-4ead-a09e-cddcb1642b61.BGLH53ZEBJFPTA2X.SEARCH&ppt=pp&ppn=pp&ssid=3wdjkg7e9s0000001764015672287&qH=40180551a6bac818,2025-11-25 06:19:05
4,Dell Intel Core i5 13th Gen 1334U,3,Makro,Laptops,https://www.makro.co.za/asset/rukmini/fccp/832/832/ng-fkpublic-ui-user-fbbe/laptop/9/r/j/512-gb-13th-gen-i3530i58512w11h-8-gb-15-6-inspiron-15-3530-na-no-original-imahcrmp4bvccths.jpeg?q=70,https://www.makro.co.za/dell-intel-core-i5-13th-gen-1334u-8-gb-512-gb-ssd-windows-11-home-inspiron-15-3530-laptop/p/itm718c731052468?pid=LTPHCRMPQYWQHNNC&lid=LSTLTPHCRMPQYWQHNNCILNVLA&q=Dell+Inspiron+15+Laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ab2b3314-226b-4d24-b2fd-16fcc467b8aa.LTPHCRMPQYWQHNNC.SEARCH&ppt=hp&ppn=homepage&ssid=p1te2e49800000001764015489134&qH=c61edf495969c952,2025-11-25 06:19:05
5,PlayStation 5 Console,3,Game,Gaming,https://i.im.ge/2025/11/25/4Lz9aP.PS5.jpeg,https://www.game.co.za/Electronics-Entertainment/Gaming/Consoles/p/000000000850009513,2025-11-25 06:19:05
6,BENNETT READ 20L Digital Microwave KMW112,3,Game,Appliances,https://i.im.ge/2025/11/25/4LzDmY.Microwavez.jpeg,https://www.game.co.za/Home-Appliances/Kitchen-Large-Appliances/Microwaves-Convection-Ovens/p/000000000000836643,2025-11-25 06:19:04
7,HISENSE SMART UHD TV 65A6Q,3,Game,TVs,https://i.im.ge/2025/11/25/4LkcR4.hisense-tv.jpeg,https://www.game.co.za/Electronics-Entertainment/Television/TVs/p/000000000850028687,2025-11-25 06:19:04
8,Acer Predator Helios Neo 16 Core i5 16GB 1TB SSD RTX 4060 16' Gaming laptop,3,Takealot,Laptops,https://media.takealot.com/covers_images/6104115370134ec8a967fbcade8710ec/s-zoom.file,https://www.takealot.com/acer-predator-helios-neo-16-core-i5-16gb-1tb-ssd-rtx-4060-16-gam/PLID95102106,2025-11-25 06:19:04
9,Audio Headphone bluetooth 5.4 Headphones Noise Cancellation Over Ear,3,Takealot,Audio,https://media.takealot.com/covers_images/9624a4b761f8ede92cca61819071983/s-zoom.file,Audio Headphone bluetooth 5.4 Headphones Noise Cancellation Over Ear,2025-11-25 06:19:04
10,Apple iPhone 17 256GB,3,Takealot,Smartphones,https://media.takealot.com/covers_images/db3b3307594646deb200df3dbb3ffd03/s-zoom.file,https://www.takealot.com/apple-iphone-17-256gb/PLID99469601,2025-11-25 06:19:04
